"TIME_PERIOD","Y3M","Y1Y","Y2Y","Y5Y","Y7Y","Y10Y","beta_0","beta_1","beta_2"
2004-10-01,2.04537885047054,2.29166675353682,2.60818822421722,3.37293960452545,3.73040685625022,4.10468978228152,4.43189495157921,-2.39917819965776,-2.45469509952011
2004-11-01,2.06205517267962,2.21703580448593,2.47251887315615,3.22023696175794,3.59902586266999,3.9999262633405,4.32705408787597,-2.21553925483208,-2.81111914777564
2004-12-01,2.09755583580862,2.20808368307407,2.42277814507082,3.1210888147632,3.49252494849337,3.89116078332031,4.1970105480823,-2.02484355210824,-2.82314642748654
2005-01-01,2.09689743120682,2.19268088610143,2.37480475597901,2.97702920666619,3.30798202794657,3.67326217824391,4.05349526857146,-1.94833963778713,-2.210656476404
2005-02-01,2.05695359784089,2.19588193751604,2.39762815396321,2.96785197515002,3.26714371733931,3.59703140925372,3.93958975392212,-1.90231913338888,-1.84422301340206
2005-03-01,2.04921003473585,2.21063780888147,2.4294706969752,2.99833850485213,3.2770635653546,3.57066587303663,3.81417644398027,-1.75572863945999,-1.95498236663397
2005-04-01,2.0542614693352,2.23384679659555,2.47689823470668,3.10576051004835,3.41236017016858,3.73428830538075,4.00391372327874,-1.94101563006962,-2.14884933749043
2005-05-01,2.0358724814573,2.15130916932995,2.33728462118472,2.90392198299582,3.20965069076187,3.54710794778019,3.89573698450476,-1.86568321644511,-1.9582578344141
2005-06-01,2.01864740302811,2.07511405647179,2.21309872339131,2.74263084300278,3.05367356622866,3.39886039174369,3.74348569378742,-1.69592127356546,-2.14849383366931
2005-07-01,2.03000386330977,1.97908242864035,2.06106392469809,2.58844634231102,2.90369092808466,3.23884342458843,3.48615685188854,-1.31030288111356,-2.70977808742507
2005-08-01,2.0427413317329,2.05229609196345,2.15594247545088,2.64612972998268,2.94125763655868,3.26737921047966,3.60178842452505,-1.51057144542703,-2.18026768124512
2005-09-01,2.06293766655054,2.10824226766399,2.22815389874745,2.69611681301574,2.97083415915962,3.27702784454611,3.58316126381133,-1.49244937368947,-1.91825985872185
2005-10-01,2.03917015323068,2.0899003835426,2.19605405306147,2.59165097039364,2.83227559330226,3.11467521428332,4.35016211018691,-2.38145478630447,-0.695054305502586
2005-11-01,2.06137320513125,2.28038406856746,2.45151105512934,2.81814580617354,3.02941878845811,3.27571410805876,3.60462836030231,-1.60731928968011,-0.00568265574762543
2005-12-01,2.22669862101986,2.53502030329605,2.71451349393773,3.0570678065417,3.25931437119681,3.4818296024109,3.64830579341437,-1.50196713637583,0.0108786477545496
2006-01-01,2.33649529625552,2.61445628666365,2.77308171716039,3.01921401130915,3.17516517391751,3.36564352457868,3.45006941355992,-1.18675712798533,0.00217471721697383
2006-02-01,2.37522516037912,2.659594952932,2.82475386121115,3.04217860789933,3.17179005758294,3.33452664730779,3.38186801271849,-1.0968989366917,0.0168307899942697
2006-03-01,2.44427080939031,2.73192271425664,2.92789013159602,3.1935426782068,3.32339290371919,3.47917261926241,3.55843989740897,-1.21816147628272,-0.0235398011479421
2006-04-01,2.54836474299378,2.91717272089145,3.14821486193963,3.39747634205504,3.50904908047193,3.64590643871379,3.69306841275426,-1.29866964025097,0.102164715347314
2006-05-01,2.5727210919802,3.02578388888005,3.29746790380118,3.61696988087062,3.76162014054968,3.92359365803869,3.98888565800309,-1.6003095959587,0.082356965346133
2006-06-01,2.65358762949097,3.10683780162265,3.34096758157082,3.63803547850495,3.79806316267833,3.97672537584636,4.02105644327544,-1.53498669046693,0.05226378762575
2006-07-01,2.75692775049876,3.20296770380244,3.42875116526974,3.67632214262241,3.8146570842173,3.98195322565849,4.00160361716114,-1.41591291029292,0.215228420752885
