Date,SVENY01,SVENY03,SVENY05,SVENY07,SVENY10,SVENY15
1971-12-01,4.54497,5.342655,5.676125,5.83426,5.954865,6.114718181818182
1972-01-01,4.539831818181818,5.241995454545455,5.629336363636363,5.852818181818182,6.041486363636364,6.195422727272727
1972-02-01,4.173266666666667,5.132080952380953,5.594942857142857,5.845247619047619,6.048852380952381,6.2114666666666665
1972-03-01,4.1414,5.265075,5.725345,5.95372,6.13178,6.271615
1972-04-01,4.591809090909091,5.520945454545455,5.861599999999999,6.025359090909091,6.151959090909091,6.251168181818182
1972-05-01,4.894665,5.81917,6.081475,6.19627,6.282555,6.349655
1972-06-01,4.583386363636364,5.482786363636364,5.839204545454546,6.014545454545455,6.15115,6.258504545454545
1972-07-01,4.840240909090909,5.574159090909091,5.874786363636364,6.024672727272727,6.141986363636364,6.234268181818181
1972-08-01,4.92825,5.706035,5.930525,6.029435,6.10379,6.1616349999999995
1972-09-01,4.941769565217392,5.727565217391304,6.002008695652174,6.128065217391304,6.223552173913043,6.297886956521739
1972-10-01,5.39841,6.006195,6.241895,6.355525,6.442995000000001,6.511335
1972-11-01,5.43736,6.02262,6.1870449999999995,6.2592550000000005,6.313535,6.355765
1972-12-01,5.293705,5.88925,6.07724,6.161625,6.22528,6.274825
1973-01-01,5.451735,5.941245,6.11104,6.18936,6.248749999999999,6.2950099999999996
1973-02-01,5.875877272727272,6.178759090909091,6.25625,6.289781818181819,6.31495,6.334527272727272
1973-03-01,6.181072222222222,6.47795,6.512283333333333,6.503744444444444,6.484883333333333,6.464833333333334
1973-04-01,6.754313636363636,6.734404545454546,6.666518181818182,6.612268181818181,6.5557727272727275,6.502431818181819
1973-05-01,6.754099999999999,6.63587,6.576415,6.547695,6.5256,6.50835
1973-06-01,6.817409090909091,6.704113636363636,6.66755,6.651754545454545,6.639895454545454,6.630668181818181
1973-07-01,7.118204761904762,6.72307619047619,6.64157619047619,6.606652380952381,6.580452380952382,6.56007619047619
1973-08-01,8.253557142857144,7.322733333333334,7.100828571428572,7.005676190476191,6.934319047619048,6.878804761904762
1973-09-01,8.529,7.678004347826087,7.3599695652173915,7.221308695652175,7.126378260869565,7.058952173913043
1973-10-01,8.063831578947369,7.061131578947368,6.86178947368421,6.851336842105263,6.89728947368421,6.963657894736843
1973-11-01,7.152314285714286,6.684176190476191,6.6215761904761905,6.639128571428571,6.682071428571429,6.732004761904761
1973-12-01,7.397320000000001,6.84654,6.732665,6.68427,6.648025,6.619865
1974-01-01,7.1648578947368415,6.674557894736842,6.628605263157895,6.618757894736842,6.613084210526316,6.608884210526315
1974-02-01,7.290395454545455,6.813845454545454,6.802822727272727,6.819613636363636,6.836600000000001,6.850459090909092
1974-03-01,6.766677777777778,6.620516666666666,6.739794444444445,6.811066666666666,6.8674,6.911544444444444
1974-04-01,7.576233333333333,7.190357142857143,7.14502380952381,7.127395238095238,7.114304761904761,7.104128571428571
1974-05-01,8.39352380952381,7.796423809523809,7.631814285714286,7.559566666666667,7.505276190476191,7.463028571428572
1974-06-01,8.550849999999999,8.06120909090909,7.850113636363637,7.730377272727273,7.623609090909091,7.527672727272727
1974-07-01,8.402435,7.922135,7.76412,7.68754,7.6263499999999995,7.5766599999999995
1974-08-01,8.482036363636364,8.248663636363636,8.072481818181819,7.914304545454545,7.692672727272727,7.347595454545455
1974-09-01,9.063840909090908,8.442286363636363,8.2613,8.17045,8.087518181818181,7.999086363636363
1974-10-01,8.625505,8.19468,8.09294,8.049285000000001,8.01654,7.991055
1974-11-01,7.870122727272727,7.844277272727272,7.788222727272728,7.709863636363636,7.556436363636364,7.23555
1974-12-01,7.4563555555555565,7.4820111111111105,7.4813277777777785,7.4583611111111106,7.3897611111111114,7.20763888888889
1975-01-01,7.1081095238095235,7.076576190476191,7.136804761904761,7.169628571428571,7.195057142857143,7.214923809523809
1975-02-01,6.698327272727273,7.073895454545454,7.174586363636364,7.217872727272728,7.250345454545454,7.275595454545454
1975-03-01,5.897722222222223,6.604961111111112,6.9299277777777775,7.081311111111111,7.196072222222223,7.285433333333334
1975-04-01,5.981425,6.7519800000000005,7.07286,7.218025,7.327325,7.412364999999999
1975-05-01,6.788372727272727,7.544436363636364,7.706518181818182,7.775963636363636,7.828072727272727,7.8685954545454555
1975-06-01,6.27484761904762,7.250871428571429,7.521109523809524,7.638800000000001,7.7271809523809525,7.795919047619048
1975-07-01,6.1927095238095236,7.043109523809524,7.339795238095237,7.468328571428572,7.559966666666666,7.628304761904762
1975-08-01,6.976399999999999,7.554772727272728,7.6620409090909085,7.672440909090909,7.661449999999999,7.6459909090909095
1975-09-01,7.471857142857142,7.96317619047619,7.980728571428572,7.9581,7.9326952380952385,7.911209523809524
1975-10-01,7.501457142857142,8.071195238095239,8.11497619047619,8.086847619047619,8.046866666666668,8.010261904761904
1975-11-01,6.8691818181818185,7.618868181818183,7.821045454545454,7.890440909090909,7.932468181818181,7.961654545454545
1975-12-01,6.436776470588235,7.334547058823529,7.637676470588235,7.772664705882353,7.873382352941176,7.951376470588235
1976-01-01,6.527340909090909,7.3322,7.581886363636364,7.693495454545455,7.777627272727273,7.843090909090909
1976-02-01,5.75544761904762,6.928409523809524,7.311557142857143,7.479590476190476,7.605785714285714,7.70394761904762
1976-03-01,5.86505,6.970561111111111,7.330972222222223,7.489233333333333,7.608066666666667,7.700488888888889
1976-04-01,6.139452173913043,7.0521391304347825,7.346252173913043,7.476765217391304,7.57465652173913,7.650713043478261
