,L,S,C,CU_US,Infl_US,FFR
1973-01-01,6.35498262398473,-0.828316773022884,0.711819903503438,87.8281,3.6407766990291357,5.33225806451613
1973-02-01,6.14439994595837,-0.534602551387741,2.36550668528313,88.8164,3.864734299516903,5.944516129032258
1973-03-01,6.34370999134085,0.0058938519196247,1.64929876073357,88.5532,4.8309178743961345,6.5842857142857145
1973-04-01,6.49919350735953,-0.256811387707277,0.901770307479762,88.1243,5.301204819277117,7.090322580645162
1973-05-01,8.35348219767211,-1.34929840453672,-3.18924695347736,88.403,5.528846153846145,7.124333333333333
1973-06-01,7.38966817391006,0.467532278452533,-2.96239268896863,88.2029,5.995203836930463,7.839354838709678
1973-07-01,6.78192557202387,1.72504645712019,1.95730936344468,88.2221,5.741626794258381,8.491
1973-08-01,7.10792638765832,1.94511148595853,-2.79817842439162,87.8012,7.398568019093088,10.399999999999999
1973-09-01,7.8114398780768,0.0100482450036999,-4.25345687322129,88.2072,7.3634204275534465,10.495806451612903
1973-10-01,6.63832213518579,1.01179929210424,-1.31304258078239,88.6195,8.056872037914697,10.784666666666668
1973-11-01,6.84632566963606,1.38656778735149,-2.76285050371583,88.7326,8.25471698113207,10.01
1973-12-01,6.92858504748867,0.995064165564865,-2.40105266913587,88.2092,8.94117647058823,10.033666666666667
1974-01-01,7.03803252810342,0.986349961431989,-2.52143511379674,87.3603,9.601873536299754,9.94774193548387
1974-02-01,6.94046559111347,0.879135843156852,-1.74396044568009,86.8532,9.999999999999986,9.648387096774194
1974-03-01,7.01206782267818,1.7797511874821,-0.0571523031055353,86.5946,10.138248847926267,8.971785714285714
1974-04-01,7.08749230805857,2.02103577087017,-0.05032345956396,86.102,10.068649885583515,9.346129032258066
1974-05-01,6.14894316737711,2.23443680172504,0.592163004191402,86.5764,10.70615034168565,10.513
1974-06-01,6.39284056291214,1.5653897059393,3.46952323485305,86.2087,10.859728506787313,11.306129032258065
1974-07-01,5.94833438776214,1.97986019041103,4.79953565894645,86.1702,11.538461538461519,11.933
1974-08-01,7.48108013185612,2.10139989536715,1.70370607166761,85.0813,10.888888888888882,12.922903225806452
1974-09-01,7.29589507979864,-0.664856987117651,3.47890756537214,84.9171,11.946902654867241,12.005161290322581
1974-10-01,4.538415475173,3.14517442782795,4.08673908525828,84.4837,11.842105263157897,11.343333333333334
1974-11-01,7.19848569540903,0.624733516465558,-0.545349783335844,81.5472,12.200435729847502,10.057741935483872
1974-12-01,5.05006042733283,1.98258883968595,2.94801567716022,78.4766,12.095032397408211,9.447666666666667
1975-01-01,0.937799040767094,4.63978015802671,12.3146780843604,77.2606,11.752136752136755,8.530967741935482
1975-02-01,1.97341625312921,3.26229875162862,10.8721505062021,75.3723,11.205073995771686,7.131612903225807
1975-03-01,0.188520004939945,5.23965804167801,14.2805682123382,74.4335,10.460251046025103,6.240714285714286
1975-04-01,4.24457159147124,1.03321636655855,10.4342645412769,74.4561,10.187110187110182,5.537419354838709
1975-05-01,7.43801861771531,-2.52772215249049,2.92593287263735,74.1297,9.259259259259256,5.492666666666667
1975-06-01,7.30609158715006,-1.58249738200769,2.40349566200651,74.4823,9.183673469387754,5.2212903225806455
1975-07-01,7.12038112371171,-1.04344713916583,3.50775676736047,75.13,9.533468559837743,5.548
1975-08-01,7.70676293470109,-1.58206700050512,2.12301512932485,75.7493,8.617234468937895,6.095806451612903
1975-09-01,8.00288133857781,-1.7146188253918,2.17756326404988,76.6023,7.905138339920947,6.135483870967741
1975-10-01,8.05522678277054,-2.81949919038001,0.681836783528379,76.7949,7.647058823529407,6.239
1975-11-01,8.00680600266751,-2.77823380879835,0.986005895693774,76.7613,7.37864077669903,5.816129032258065
1975-12-01,7.6586211836321,-2.7076633270945,1.75550538733036,77.6515,7.129094412331405,5.2156666666666665
1976-01-01,4.82416928165063,-0.370495193624194,9.40095007855858,78.5352,6.692160611854692,5.195483870967742
1976-02-01,7.4155021854444,-2.67761404696569,2.61836808389853,79.1583,6.273764258555126,4.867741935483871
1976-03-01,7.41217802795146,-2.7167791177394,2.42122918807868,79.1609,6.060606060606055,4.770689655172413
1976-04-01,7.67379131854695,-3.05793950297259,0.603138757102403,79.3847,5.849056603773595,4.83741935483871
1976-05-01,7.71607109375876,-2.56480198527824,1.88491457256183,79.5472,6.214689265536721,4.816
1976-06-01,7.77943880412727,-2.6154632616047,0.67858344138878,79.4537,5.981308411214958,5.290645161290322
1976-07-01,7.86838372381334,-2.96251427117595,0.139178533203043,79.7129,5.555555555555558,5.476333333333333
1976-08-01,7.84075002412668,-2.92933828361483,0.115641524710164,80.0788,5.719557195571956,5.306451612903226
1976-09-01,7.70625962193269,-2.70348039648986,1.35478133397222,80.1586,5.494505494505497,5.290967741935484
1976-10-01,7.79194605436032,-3.03951830737676,0.0212483922598748,79.9457,5.464480874316946,5.252
1976-11-01,8.21465220246342,-3.76687895144441,0.12708164180094,80.9791,5.063291139240511,5.02483870967742
1976-12-01,6.93792709937383,-2.68452336415764,2.16784720329182,81.6559,5.035971223021574,4.949
1977-01-01,7.17689231989401,-2.62916683374354,1.99099206993581,80.9038,5.197132616487465,4.651290322580645
1977-02-01,6.54739844323776,-2.0221724961103,4.41714603247697,81.9747,6.082289803220031,4.610967741935484
1977-03-01,6.7657625982628,-2.34395122510721,4.07526531767825,82.8042,6.428571428571428,4.6832142857142856
1977-04-01,7.57194431612777,-3.14452428124497,0.123236870886689,83.3995,6.951871657754016,4.69
1977-05-01,7.51645120072687,-2.56041598408369,0.0646778439867424,83.8236,6.737588652482285,4.727333333333333
