date,gz_spread,ebp,est_prob
1973-01-01,1.1018267879026915,0.015072374758842377,0.22784320624094426
1973-02-01,1.045423143140895,-0.0027124665030975326,0.22172922908157688
1973-03-01,0.9956893667936311,-0.09697331222551941,0.19092984510338748
1973-04-01,0.9553327198084648,-0.1548387584567653,0.17339308216006016
1973-05-01,1.0073928110897448,-0.06019788460089859,0.20262072486775123
1973-06-01,1.1422628080798332,0.044468508351147795,0.23815380504448855
1973-07-01,0.9332407654266398,-0.32079280225906437,0.12899056681861049
1973-08-01,0.9432599258337323,-0.20418300413844281,0.15927676020754414
1973-09-01,0.770816861878993,-0.3521825106957648,0.12156946711542481
1973-10-01,1.2266048014370992,0.1273669594077924,0.2685590738429364
1973-11-01,1.309286649008018,0.07586502712781185,0.24944260333361698
1973-12-01,1.2373560988718553,0.007076548859028087,0.22508277868510293
1974-01-01,1.1116754127027628,-0.04340870699689092,0.2080972476661983
1974-02-01,1.2493236783221096,0.16408329340589956,0.28262318987772117
1974-03-01,1.1642054913883215,-0.08423341543011142,0.1949321809905251
1974-04-01,1.1758896088595747,0.06405999452977618,0.24516496774665317
1974-05-01,1.2171906475174699,0.07540331603838313,0.2492745570090798
1974-06-01,1.7519119977036726,0.6689489283429924,0.5015834399012201
1974-07-01,2.43916325793796,1.2268001769232642,0.7401391206765172
1974-08-01,1.92326740115409,0.7935562558904963,0.5583876232349176
1974-09-01,2.1948562353303114,0.9073033023284403,0.6092405361813173
1974-10-01,2.3949455635439416,1.0584354751206084,0.6738881633855642
1974-11-01,2.207241842416999,1.0034523634129353,0.650849328322832
1974-12-01,2.5232673424169105,1.1625508685215389,0.7156903766033782
1975-01-01,1.6641929937454714,0.39961847900468883,0.38021022033711965
1975-02-01,1.5799738986631375,0.4091662288054865,0.3843872388615914
1975-03-01,1.831421520262484,0.5975757004534115,0.46895794648035555
1975-04-01,1.490072031684487,0.23793618407078054,0.3119382487684973
1975-05-01,1.54039950108931,0.3508812681108977,0.3591147913984363
1975-06-01,1.4051214139131998,0.24579293360268095,0.31513288817254675
1975-07-01,1.4292460024258211,0.3632310460017989,0.36442269188068055
1975-08-01,1.2422426193442044,0.11179603271712746,0.26270272677218587
1975-09-01,1.3664161352753075,0.2895193391208384,0.33316055281641427
1975-10-01,1.2958257093283778,0.09766631023990979,0.25744555137612257
1975-11-01,1.2765636594092638,0.17301804255158926,0.28609842008838576
1975-12-01,1.1991074011189868,-0.03912662252921173,0.2095078941545806
1976-01-01,0.9674096710015535,-0.14823590651675833,0.1753406832151288
1976-02-01,1.0469007895261249,-0.05126156196791398,0.205524898340622
1976-03-01,0.9955225191692078,-0.09825763446501667,0.19052918162128857
1976-04-01,1.0375807310964729,-0.040900711757825725,0.20892277488951463
1976-05-01,1.005484866520766,-0.10127918761130705,0.18958860088597554
1976-06-01,0.998027705588457,-0.037528536173428106,0.2100357896118449
1976-07-01,0.9617176785764174,-0.07798563756987487,0.19691347478998192
1976-08-01,0.8894486403649354,-0.1595254486546155,0.1720190686801209
1976-09-01,0.83918183790734,-0.19549671776757538,0.16170555790078597
1976-10-01,0.9034786701147208,-0.1350826577831401,0.1792615642214778
1976-11-01,0.8291283900156177,-0.3690333288086942,0.1177118029466647
1976-12-01,1.0840167920685375,-0.03386693118891859,0.21124826934469534
1977-01-01,0.9670989016344393,-0.3016276596577203,0.1336730267100469
1977-02-01,0.9206514937709138,-0.18825536775378215,0.16374868519480643
1977-03-01,0.9071250487410135,-0.15851781760679928,0.1723138913363528
1977-04-01,0.8503124293583652,-0.24131611476001125,0.14916458125294144
1977-05-01,0.7991848859930067,-0.25203731810509555,0.14632652377329078
1977-06-01,0.8399434125378092,-0.2638471190639814,0.14324252827279013
1977-07-01,0.8732945856008134,-0.17935445408203377,0.16628290895750397
1977-08-01,0.9241339814992365,-0.18795368659539669,0.16383416574238094
1977-09-01,0.943336649159215,-0.14034839249459097,0.17768531777133217
1977-10-01,0.9325222655950993,-0.15132697258504035,0.1744272106682805
1977-11-01,0.935028180607198,-0.134137820029255,0.17954531991288705
1977-12-01,0.7882763677006503,-0.33327470616280475,0.1260028372019741
1978-01-01,0.759513126712875,-0.3386841801897982,0.12472310364848867
1978-02-01,0.7191687235261861,-0.33908786570083405,0.12462796824605894
1978-03-01,0.7255268727972175,-0.33588420006034325,0.12538436380908854
1978-04-01,0.7369143187339416,-0.2837436265063301,0.138146705550758
1978-05-01,0.7784348604544221,-0.2431391225538896,0.14867942830598319
1978-06-01,0.6299066215423954,-0.4467195869053451,0.10104804544337026
1978-07-01,0.6259920288228817,-0.3622412903143387,0.1192561540650252
1978-08-01,0.6054745490896358,-0.39192126678670347,0.11261200271777079
1978-09-01,0.6436323087965222,-0.3224533653761825,0.12859027726550987
1978-10-01,0.5629925004200966,-0.5103527868500053,0.08873531075550484
1978-11-01,0.6671743787992502,-0.2607145356572801,0.14405625635510794
1978-12-01,0.6444213873107442,-0.39708971077308386,0.11148256405873402
1979-01-01,0.6952421904911633,-0.27166570637021137,0.14122511692095058
1979-02-01,0.6638576645251255,-0.3280063612730544,0.12725795647848182
1979-03-01,0.6506520205270432,-0.1957919168299811,0.16162262226322105
1979-04-01,0.6444352858070996,-0.2443801462792281,0.14834976157043633
1979-05-01,0.7059792549205242,-0.2721809577594386,0.14109284774944159
1979-06-01,0.7385814429449198,-0.19104619213530705,0.16295928555857958
1979-07-01,0.6516171960944991,-0.2668138082762672,0.1424747607777627
1979-08-01,0.5807234943071713,-0.35004539908483656,0.12206499431283521
