"Date","SVENY01","SVENY03","SVENY05","SVENY07","SVENY10","SVENY15","beta_0","beta_1","beta_2","lambda"
1971-12-01,4.54497,5.342655,5.676125,5.83426,5.954865,6.11471818181818,6.27922464743961,-2.13318248299012,-1.96802666684896,0.7308
1972-01-01,4.53983181818182,5.24199545454545,5.62933636363636,5.85281818181818,6.04148636363636,6.19542272727273,6.43012905169477,-1.3418147202196,-3.98900751351504,0.7308
1972-02-01,4.17326666666667,5.13208095238095,5.59494285714286,5.84524761904762,6.04885238095238,6.21146666666667,6.48399956967417,-2.26315418469978,-3.70934445725552,0.7308
1972-03-01,4.1414,5.265075,5.725345,5.95372,6.13178,6.271615,6.53115484180858,-3.14292158704817,-2.33255867056909,0.7308
1972-04-01,4.59180909090909,5.52094545454545,5.8616,6.02535909090909,6.15195909090909,6.25116818181818,6.43838453851812,-2.77758802590398,-1.14761568161992,0.7308
1972-05-01,4.894665,5.81917,6.081475,6.19627,6.282555,6.349655,6.48337625211334,-3.10740534106824,0.358965816476708,0.7308
1972-06-01,4.58338636363636,5.48278636363636,5.83920454545455,6.01454545454545,6.15115,6.25850454545454,6.45798368068121,-2.56755141585869,-1.63808332114031,0.7308
1972-07-01,4.84024090909091,5.57415909090909,5.87478636363636,6.02467272727273,6.14198636363636,6.23426818181818,6.40397213558202,-2.04594879240984,-1.54612136199079,0.7308
1972-08-01,4.92825,5.706035,5.930525,6.029435,6.10379,6.161635,6.27674469800449,-2.59830973336465,0.231043451172476,0.7308
1972-09-01,4.94176956521739,5.7275652173913,6.00200869565217,6.1280652173913,6.22355217391304,6.29788695652174,6.44565228748044,-2.44168759200995,-0.598211151095824,0.7308
1972-10-01,5.39841,6.006195,6.241895,6.355525,6.442995,6.511335,6.64218939542072,-1.77305215820655,-0.956684160085103,0.7308
1972-11-01,5.43736,6.02262,6.187045,6.259255,6.313535,6.355765,6.43949895026916,-1.97065173977854,0.246252549852973,0.7308
1972-12-01,5.293705,5.88925,6.07724,6.161625,6.22528,6.274825,6.37352940345301,-1.9287176030109,-0.100117047502708,0.7308
1973-01-01,5.451735,5.941245,6.11104,6.18936,6.24875,6.29501,6.38643908453977,-1.52251715645377,-0.362484503713735,0.7308
1973-02-01,5.87587727272727,6.17875909090909,6.25625,6.28978181818182,6.31495,6.33452727272727,6.37295862872059,-1.04675336540236,0.25218877484773,0.7308
1973-03-01,6.18107222222222,6.47795,6.51228333333333,6.50374444444444,6.48488333333333,6.46483333333333,6.47065068737016,-1.36214860672366,1.55614094152623,0.7308
1973-04-01,6.75431363636364,6.73440454545455,6.66651818181818,6.61226818181818,6.55577272727273,6.50243181818182,6.45602157623536,-0.364663236821346,1.70884032165159,0.7308
1973-05-01,6.7541,6.63587,6.576415,6.547695,6.5256,6.50835,6.47422141872945,0.298092903669034,0.404709456096524,0.7308
1973-06-01,6.81740909090909,6.70411363636364,6.66755,6.65175454545455,6.63989545454545,6.63066818181818,6.61162262807207,0.368342441217201,0.017683459190073,0.7308
1973-07-01,7.11820476190476,6.72307619047619,6.64157619047619,6.60665238095238,6.58045238095238,6.56007619047619,6.52217311480564,1.42803096372438,-0.627102552810601,0.7308
1973-08-01,8.25355714285714,7.32273333333333,7.10082857142857,7.00567619047619,6.93431904761905,6.87880476190476,6.77106296662047,3.27242768823159,-1.03487095620006,0.7308
1973-09-01,8.529,7.67800434782609,7.35996956521739,7.22130869565217,7.12637826086956,7.05895217391304,6.88568467615838,2.6803312276762,0.632617703465151,0.7308
1973-10-01,8.06383157894737,7.06113157894737,6.86178947368421,6.85133684210526,6.89728947368421,6.96365789473684,6.8861242521817,4.40306904078665,-4.19502953303324,0.7308
1973-11-01,7.15231428571429,6.68417619047619,6.62157619047619,6.63912857142857,6.68207142857143,6.73200476190476,6.7170443152065,2.2307261900166,-2.68083493366189,0.7308
1973-12-01,7.39732,6.84654,6.732665,6.68427,6.648025,6.619865,6.56700450705756,1.99249185968239,-0.879450329444666,0.7308
1974-01-01,7.16485789473684,6.67455789473684,6.62860526315789,6.61875789473684,6.61308421052632,6.60888421052632,6.59942059041873,2.00781345799678,-1.82035024835152,0.7308
1974-02-01,7.29039545454545,6.81384545454545,6.80282272727273,6.81961363636364,6.8366,6.85045909090909,6.86620440347604,2.13922574493175,-2.55269339696741,0.7308
1974-03-01,6.76667777777778,6.62051666666667,6.73979444444444,6.81106666666667,6.8674,6.91154444444444,6.99699756535364,1.1193073420274,-2.89402700686286,0.7308
1974-04-01,7.57623333333333,7.19035714285714,7.14502380952381,7.12739523809524,7.11430476190476,7.10412857142857,7.08890127007302,1.51063411634653,-1.15682668345246,0.7308
1974-05-01,8.39352380952381,7.79642380952381,7.63181428571429,7.55956666666667,7.50527619047619,7.46302857142857,7.37956751845772,2.02064843508713,-0.299406202100271,0.7308
1974-06-01,8.55085,8.06120909090909,7.85011363636364,7.73037727272727,7.62360909090909,7.52767272727273,7.40732912460327,1.15452625795856,1.76901701632645,0.7308
1974-07-01,8.402435,7.922135,7.76412,7.68754,7.62635,7.57666,7.49187082145626,1.48133639159852,0.355869104052914,0.7308
1974-08-01,8.48203636363636,8.24866363636364,8.07248181818182,7.91430454545455,7.69267272727273,7.34759545454545,7.28048649147984,-0.860784091271519,5.7329913648362,0.7308
1974-09-01,9.06384090909091,8.44228636363636,8.2613,8.17045,8.08751818181818,7.99908636363636,7.91101219219493,1.88983765618383,0.421371017992767,0.7308
1974-10-01,8.625505,8.19468,8.09294,8.049285,8.01654,7.991055,7.94177621649462,1.51734735996045,-0.492498334819356,0.7308
