TIME_PERIOD,Y3M,Y6M,Y9M,Y1Y,Y2Y,Y3Y,Y4Y,Y5Y,Y6Y,Y7Y,Y8Y,Y10Y
2004-10-01,2.0453788504705357,2.1274485219459933,2.2097314319390104,2.2916667535368185,2.6081882242172174,2.8963742246774213,3.151104269980987,3.3729396045254485,3.5648120225166138,3.73040685625022,3.8734101409631516,4.104689782281516
2004-11-01,2.0620551726796195,2.107921201932938,2.160048646391412,2.217035804485935,2.472518873156151,2.738823060820939,2.991433499235063,3.2202369617579385,3.422492887143831,3.5990258626699885,3.7522020360063184,3.999926263340502
2004-12-01,2.0975558358086195,2.1270741530753168,2.164418954034833,2.2080836830740727,2.422778145070817,2.663644347861097,2.901032002069711,3.1210888147632003,3.3185282918150687,3.4925249484933705,3.6444194901378633,3.891160783320308
2005-01-01,2.096897431206821,2.1230446565326506,2.1553469265903438,2.1926808861014315,2.3748047559790098,2.5800727861963817,2.7847430809621203,2.9770292066661947,3.15189181891314,3.3079820279465713,3.445867987943268,3.673262178243909
2005-02-01,2.0569535978408933,2.1012044045478238,2.1476867005808273,2.195881937516038,2.3976281539632134,2.5999655975469387,2.7917957696547107,2.967851975150018,3.126280216032007,3.267143717339315,3.3915116881539253,3.5970314092537206
2005-03-01,2.0492100347358533,2.1020349582208135,2.1559901058700706,2.2106378088814744,2.4294706969751956,2.6380248174453245,2.828558223113703,2.9983385048521285,3.1473741043525303,3.2770635653546014,3.3894098974103635,3.5706658730366327
2005-04-01,2.0542614693351955,2.1130422483425395,2.1730700056054566,2.2338467965955484,2.4768982347066797,2.707953676558997,2.9185269141427805,3.1057605100483534,3.269817868505505,3.412360170168576,3.535676959803222,3.7342883053807547
2005-05-01,2.0358724814572993,2.0708272968590506,2.1095482441161986,2.151309169329947,2.3372846211847214,2.534075609555979,2.7256437674093608,2.903921982995822,3.0655096123409593,3.209650690761872,3.337011351431996,3.5471079477801846
2005-06-01,2.018647403028115,2.0312727708590987,2.050425880614214,2.0751140564717923,2.2130987233913113,2.3852890628004046,2.5665462926621756,2.742630843002783,2.9061030319876697,3.0536735662286603,3.1845071441179327,3.398860391743685
2005-07-01,2.03000386330977,1.9977379266650537,1.9816815422380907,1.979082428640345,2.061063924698093,2.2217899277742763,2.40654018021979,2.5884463423110162,2.755556447212401,2.903690928084656,3.0325371661235696,3.238843424588426
2005-08-01,2.0427413317329006,2.036885850568135,2.040568834461584,2.0522960919634543,2.155942475450876,2.309688277929375,2.4792118257266123,2.6461297299826803,2.8013872127064756,2.941257636558678,3.0649467915344273,3.2673792104796617
2005-09-01,2.0629376665505412,2.0721179216105123,2.0875430613846415,2.1082422676639934,2.228153898747447,2.3801044014910273,2.540445629749747,2.696116813015739,2.8405057321427303,2.9708341591596166,3.0865237293274106,3.2770278445461147
2005-10-01,2.0391701532306796,2.05233706393083,2.0694365617174912,2.0899003835425987,2.196054053061471,2.3242071109822793,2.459086294942932,2.591650970393642,2.71687535810732,2.832275593302259,2.936938640789892,3.114675214283319
2005-11-01,2.0613732051312468,2.1493599900816682,2.2209226999278155,2.2803840685674586,2.4515110551293366,2.5814623573610858,2.702035380906329,2.818145806173541,2.928011157773677,3.02941878845811,3.121181605708892,3.2757141080587595
2005-12-01,2.226698621019856,2.3603964669827877,2.459787351722077,2.5350203032960477,2.7145134939377313,2.832689570884297,2.945342141826915,3.0570678065416996,3.163028903560713,3.2593143711968087,3.3443387196311787,3.4818296024109006
2006-01-01,2.33649529625552,2.4553474539439346,2.545508786111975,2.6144562866636534,2.773081717160391,2.861506136049043,2.939612804497485,3.0192140113091495,3.0988727809040713,3.175165173917507,3.245652421341612,3.3656435245786804
2006-02-01,2.3752251603791183,2.495409474543551,2.587961076342104,2.6595949529320033,2.824753861211152,2.909295742560448,2.976377346688872,3.0421786078993325,3.1080259869463593,3.171790057582943,3.2314384891415044,3.3345266473077886
2006-03-01,2.4442708093903134,2.561105483844313,2.6553566147482277,2.731922714256645,2.92789013159602,3.0388318826959813,3.121163568229696,3.1935426782068026,3.2608026659515588,3.323392903719193,3.380825904072155,3.479172619262406
2006-04-01,2.548364742993782,2.7004185035054546,2.821084999185305,2.9171727208914513,3.1482148619396257,3.2612548652408075,3.3353956849098365,3.3974763420550387,3.4549895024197532,3.5090490804719265,3.55917613091416,3.64590643871379
2006-05-01,2.5727210919801973,2.7630289720478656,2.9105562235426463,3.0257838888800483,3.2974679038011754,3.4354133723710216,3.533085508897264,3.616969880870616,3.6929556457320984,3.7616201405496787,3.8227906296306293,3.9235936580386888
2006-06-01,2.653587629490974,2.8519990405803557,2.9982139432676616,3.106837801622655,3.3409675815708155,3.456723682949364,3.549688479894718,3.638035478504948,3.7216333018761003,3.7980631626783303,3.866006403437091,3.976725375846361
2006-07-01,2.7569277504987646,2.9516767625795723,3.0958172809492583,3.202967703802436,3.428751165269737,3.5291368081583627,3.604181716479154,3.6763221426224146,3.7472340087469758,3.814657084217296,3.8766986637111303,3.9819532256584904
2006-08-01,2.857407345232074,3.073472402879441,3.2247300187075094,3.33140196454654,3.53478249551241,3.61482321628265,3.6743112903972808,3.733031910940842,3.7920897200714045,3.8494181032887385,3.9032547580784334,3.9972627071731988
2006-09-01,2.991634357687411,3.1996884597357753,3.3288769095255692,3.409297122024802,3.5260129781302316,3.5596988405540126,3.593980912086681,3.6371710831895396,3.6857581585919537,3.735701719302186,3.7842227839163454,3.8715202602295533
